cluster,id_dep,departamento,id_region,region,fuente_gps,cluster_urb_rur,lat,lon,alt_gps,alt_dem
2682,63,quindio,3,central,GAZ,R,4.19624170357,-75.77510683330,1390.00000000000,1878.00000000000
2658,63,quindio,3,central,GAZ,U,4.22685009574,-75.75808754800,1400.00000000000,1878.00000000000
2657,63,quindio,3,central,GAZ,U,4.23869286450,-75.75156026080,1425.00000000000,1878.00000000000
2656,63,quindio,3,central,GAZ,U,4.21745449469,-75.76515548550,1438.00000000000,1878.00000000000
4620,11,bogota,5,bogota,GPS,U,4.74079973840,-74.03637974150,2115.00000000000,2553.00000000000
1281,68,santander,2,oriental,GAZ,U,7.20165406785,-73.31109687560,167.00000000000,599.00000000000
2654,63,quindio,3,central,GAZ,U,4.23406943175,-75.75155122180,1447.00000000000,1878.00000000000
327,47,magdalena,1,atlantica,GAZ,R,10.84546335290,-74.09999949300,969.00000000000,540.00000000000
2660,63,quindio,3,central,GAZ,U,4.62077441779,-75.53250063050,1947.00000000000,2372.00000000000
2653,63,quindio,3,central,GAZ,U,4.23955654760,-75.75287297010,1466.00000000000,1878.00000000000
2663,63,quindio,3,central,GAZ,U,4.61216824990,-75.53351229180,1962.00000000000,2372.00000000000
2651,63,quindio,3,central,GAZ,U,4.22512130339,-75.75864918720,1469.00000000000,1878.00000000000
2655,63,quindio,3,central,GAZ,U,4.22590987385,-75.76343435110,1471.00000000000,1878.00000000000
2662,63,quindio,3,central,GAZ,U,4.61110083937,-75.53638686340,1966.00000000000,2372.00000000000
2689,63,quindio,3,central,GAZ,R,4.58549989479,-75.54247070590,1973.00000000000,2372.00000000000
1328,68,santander,2,oriental,GAZ,R,6.88673695534,-73.50618344480,716.00000000000,325.00000000000
2652,63,quindio,3,central,GAZ,U,4.22436913805,-75.76322717990,1487.00000000000,1878.00000000000
1172,68,santander,2,oriental,GAZ,U,7.13417093913,-73.13896164410,1323.00000000000,940.00000000000
2134,17,caldas,3,central,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1554,25,cundinamarca,2,oriental,GPS,U,4.66434901775,-74.38331126940,956.00000000000,1332.00000000000
2665,63,quindio,3,central,GAZ,U,4.60321636445,-75.54164937210,2000.00000000000,2372.00000000000
2664,63,quindio,3,central,GAZ,U,4.59452605876,-75.53862096490,2003.00000000000,2372.00000000000
2659,63,quindio,3,central,GAZ,U,4.61414035209,-75.52777337480,2008.00000000000,2372.00000000000
1327,68,santander,2,oriental,GAZ,R,6.87664304920,-73.48818130690,682.00000000000,325.00000000000
1253,68,santander,2,oriental,GAZ,U,7.07525290186,-73.31037144710,1.00000000000,355.00000000000
2661,63,quindio,3,central,GAZ,U,4.60441529104,-75.54028338510,2020.00000000000,2372.00000000000
1254,68,santander,2,oriental,GAZ,U,7.07655172418,-73.30872218090,7.00000000000,355.00000000000
1252,68,santander,2,oriental,GAZ,U,7.05728002604,-73.32470844390,13.00000000000,355.00000000000
1255,68,santander,2,oriental,GAZ,U,7.07298909016,-73.31504290640,13.00000000000,355.00000000000
